config_label,tile_width,tile_height,min_active_pixels,mean_coverage_efficiency,mean_active_tiles,mean_sparse_ms,sparse_top1_acc,dense_masked_top1_acc,dense_unmasked_top1_acc
"w=18, h=17, minpix=3",18,17,3,0.6445896642427347,85.52294,7.464570166300692,43.296,43.342,66.82
"w=18, h=18, minpix=3",18,18,3,0.6420138528946568,83.41514,7.108550781778177,43.374,43.342,66.82
"w=14, h=14, minpix=4",14,14,4,0.7146415292134394,106.36476,6.897892341069528,43.338,43.342,66.82
"w=14, h=15, minpix=4",14,15,4,0.7067601819508985,104.08436,7.721225416020024,43.322,43.342,66.82
"w=14, h=16, minpix=4",14,16,4,0.7009481662449011,98.6231,7.87531596563349,43.35,43.342,66.82
"w=14, h=17, minpix=4",14,17,4,0.6825157047343668,96.57482,7.375939194099629,43.286,43.342,66.82
"w=14, h=18, minpix=4",14,18,4,0.6793370737876213,94.0793,7.2301962268856,43.318,43.342,66.82
"w=15, h=14, minpix=4",15,14,4,0.7067036682078379,103.5228,8.790698555632844,43.316,43.342,66.82
"w=15, h=15, minpix=4",15,15,4,0.6988307437021191,101.3663,9.336481127564038,43.348,43.342,66.82
"w=15, h=16, minpix=4",15,16,4,0.6931693913344226,96.06498,9.05983257940039,43.296,43.342,66.82
"w=15, h=17, minpix=4",15,17,4,0.6749844886105834,94.08954,8.80530221841269,43.346,43.342,66.82
"w=15, h=18, minpix=4",15,18,4,0.6719655765665522,91.69852,8.712603168087954,43.312,43.342,66.82
"w=16, h=14, minpix=4",16,14,4,0.6999118446142458,98.39306,7.614504036117287,43.344,43.342,66.82
"w=16, h=15, minpix=4",16,15,4,0.6922366400020435,96.34776,8.221916264504252,43.306,43.342,66.82
"w=16, h=16, minpix=4",16,16,4,0.6868276836250148,91.3971,8.12070642720675,43.356,43.342,66.82
"w=16, h=17, minpix=4",16,17,4,0.6686429130902349,89.53378,7.741588229915651,43.318,43.342,66.82
"w=16, h=18, minpix=4",16,18,4,0.6657847668254837,87.25248,8.639968117579702,43.336,43.342,66.82
"w=17, h=14, minpix=4",17,14,4,0.6847941601488072,95.90928,7.7448881624746715,43.376,43.342,66.82
"w=17, h=15, minpix=4",17,15,4,0.6773511728086546,93.94862,8.111924579964834,43.338,43.342,66.82
"w=17, h=16, minpix=4",17,16,4,0.6718712030645351,89.12824,8.4379558480985,43.328,43.342,66.82
"w=17, h=17, minpix=4",17,17,4,0.6541827739315511,87.34422,8.282003086596086,43.358,43.342,66.82
"w=17, h=18, minpix=4",17,18,4,0.6514782263592083,85.15414,8.142064759513888,43.302,43.342,66.82
"w=18, h=14, minpix=4",18,14,4,0.6802348257529918,93.08154,8.271521400895727,43.322,43.342,66.82
"w=18, h=15, minpix=4",18,15,4,0.6728503268078857,91.24388,8.688456668506552,43.314,43.342,66.82
"w=18, h=16, minpix=4",18,16,4,0.6675646773243716,86.5559,8.306788105333398,43.348,43.342,66.82
"w=18, h=17, minpix=4",18,17,4,0.6499563308674986,84.84404,8.092932021821616,43.322,43.342,66.82
"w=18, h=18, minpix=4",18,18,4,0.6472432747731747,82.74518,7.582652797513584,43.36,43.342,66.82
"w=14, h=14, minpix=5",14,14,5,0.7197391254695185,105.51302,7.284723002855608,43.362,43.342,66.82
"w=14, h=15, minpix=5",14,15,5,0.7116980319927826,103.23952,7.798210905567394,43.292,43.342,66.82
"w=14, h=16, minpix=5",14,16,5,0.70577115543649,97.8444,10.010925327413425,43.334,43.342,66.82
"w=14, h=17, minpix=5",14,17,5,0.687139679733153,95.78732,7.803393306469079,43.23,43.342,66.82
"w=14, h=18, minpix=5",14,18,5,0.6839856625151723,93.2551,7.465012623139192,43.36,43.342,66.82
"w=15, h=14, minpix=5",15,14,5,0.7116239138382618,102.68658,8.166226898453315,43.288,43.342,66.82
"w=15, h=15, minpix=5",15,15,5,0.7036631768211034,100.5277,8.963271211113316,43.31,43.342,66.82
"w=15, h=16, minpix=5",15,16,5,0.6978470024839628,95.30066,8.51802645269403,43.284,43.342,66.82
"w=15, h=17, minpix=5",15,17,5,0.6796021218616661,93.3184,8.75954431272694,43.294,43.342,66.82
"w=15, h=18, minpix=5",15,18,5,0.6764908423702527,90.8855,10.678128073734115,43.32,43.342,66.82
"w=16, h=14, minpix=5",16,14,5,0.7047431455480913,97.62672,7.973916405680939,43.304,43.342,66.82
"w=16, h=15, minpix=5",16,15,5,0.6968958269993029,95.57668,9.512945418508608,43.29,43.342,66.82
"w=16, h=16, minpix=5",16,16,5,0.6914038717950358,90.69096,9.402688045318063,43.336,43.342,66.82
"w=16, h=17, minpix=5",16,17,5,0.6731515610129574,88.82148,9.497154489137174,43.3,43.342,66.82
"w=16, h=18, minpix=5",16,18,5,0.6701999624428763,86.49264,9.027194405722257,43.284,43.342,66.82
"w=17, h=14, minpix=5",17,14,5,0.6894650877155893,95.13644,9.17837045270484,43.354,43.342,66.82
"w=17, h=15, minpix=5",17,15,5,0.6819419553405832,93.18226,8.983021437787684,43.31,43.342,66.82
"w=17, h=16, minpix=5",17,16,5,0.6763838299488396,88.42032,8.250803261382098,43.326,43.342,66.82
"w=17, h=17, minpix=5",17,17,5,0.6585078475197839,86.63138,8.621048553355504,43.358,43.342,66.82
"w=17, h=18, minpix=5",17,18,5,0.6557661634160756,84.39296,9.243219917557726,43.288,43.342,66.82
"w=18, h=14, minpix=5",18,14,5,0.6848836859915431,92.28956,7.586898897949432,43.266,43.342,66.82
"w=18, h=15, minpix=5",18,15,5,0.6773652814471407,90.43758,9.2483260017063,43.244,43.342,66.82
"w=18, h=16, minpix=5",18,16,5,0.6720001396145532,85.81768,8.51197299681051,43.292,43.342,66.82
"w=18, h=17, minpix=5",18,17,5,0.6543158258760866,84.10306,8.454785720002256,43.296,43.342,66.82
"w=18, h=18, minpix=5",18,18,5,0.651497729208194,81.74262,8.3741167581419,43.352,43.342,66.82
