tile_width,tile_height,min_active_pixels,num_images,sparse_ms,dense_masked_ms,dense_unmasked_ms,active_tiles,active_ratio,sparse_vs_dense_masked_mean_abs_diff,sparse_vs_dense_masked_max_abs_diff,dense_masked_vs_unmasked_mean_abs_diff,dense_masked_vs_unmasked_max_abs_diff,sparse_vs_unmasked_mean_abs_diff,sparse_vs_unmasked_max_abs_diff,sparse_top1_acc,sparse_top5_acc,dense_masked_top1_acc,dense_masked_top5_acc,dense_unmasked_top1_acc,dense_unmasked_top5_acc,sparse_vs_dense_masked_pred_agreement,dense_masked_vs_unmasked_pred_agreement,sparse_vs_unmasked_pred_agreement
15,14,3,50000,7.401965644932207,2.171193496633641,1.4214905523300694,104.35226,0.5929105681818182,2.737789188432066e-05,0.1699555367231369,0.0010146127853428635,0.999259352684021,0.0010146314539766208,0.9992616176605225,43.34,63.766,43.342,63.78,66.82,87.514,97.886,48.346,48.342
15,15,3,50000,9.491439772796149,2.498926682004967,1.628504024873837,102.1886,0.5806170454545454,2.6957823027681248e-05,0.19738224148750305,0.0010146127853428635,0.999259352684021,0.0010145609134259747,0.9992709755897522,43.372,63.726,43.342,63.78,66.82,87.514,97.852,48.346,48.324
15,16,3,50000,10.541055614456562,2.9138720631647446,1.955909890144976,96.82056,0.6051285000000001,2.4712857146689987e-05,0.2180238664150238,0.0010146127853428635,0.999259352684021,0.0010144839503145892,0.999284565448761,43.306,63.75,43.342,63.78,66.82,87.514,98.044,48.346,48.292
15,17,3,50000,12.562402071217075,3.4925653221705577,2.426816633697308,94.84296,0.5927685,2.5725481634477223e-05,0.24927939474582672,0.0010146127853428635,0.999259352684021,0.0010146998757786664,0.9992997646331787,43.362,63.748,43.342,63.78,66.82,87.514,97.972,48.346,48.354
15,18,3,50000,14.158686608214921,4.0709988238231745,2.8658011486774195,92.44332,0.57777075,2.5256186796400698e-05,0.17933768033981323,0.0010146127853428635,0.999259352684021,0.0010146298801465422,0.9992586970329285,43.328,63.756,43.342,63.78,66.82,87.514,98.042,48.346,48.312
16,14,3,50000,8.95813556325331,2.789561296988977,1.9099810775066726,99.14706,0.619669125,2.5532826950268904e-05,0.16637304425239563,0.0010146127853428635,0.999259352684021,0.0010145640644121199,0.9992550611495972,43.362,63.792,43.342,63.78,66.82,87.514,97.898,48.346,48.33
16,15,3,50000,9.965322257637453,2.754331183070026,1.891945068804489,97.1029,0.606893125,2.5279478649535588e-05,0.3019280731678009,0.0010146127853428635,0.999259352684021,0.0010145148852343101,0.9992451667785645,43.292,63.742,43.342,63.78,66.82,87.514,97.932,48.346,48.312
16,16,3,50000,8.619166066119796,2.4630147192522416,1.6585037301736885,92.08444,0.6307153424657534,2.3694556245866937e-05,0.23449859023094177,0.0010146127853428635,0.999259352684021,0.0010144832133000847,0.9992574453353882,43.304,63.766,43.342,63.78,66.82,87.514,98.054,48.346,48.304
16,17,3,50000,9.369916982772702,2.7079082239035053,1.8317463461760781,90.22538,0.6179820547945205,2.3899399955491655e-05,0.22049924731254578,0.0010146127853428635,0.999259352684021,0.001014584231755668,0.9992424845695496,43.316,63.762,43.342,63.78,66.82,87.514,98.094,48.346,48.314
16,18,3,50000,7.976072102213802,2.373331120699004,1.5864211865485414,87.93656,0.6023052054794521,2.3203271920452746e-05,0.19108222424983978,0.0010146127853428635,0.999259352684021,0.001014487035948273,0.9992296695709229,43.308,63.814,43.342,63.78,66.82,87.514,98.164,48.346,48.324
